aero_motif_idx,eeg_motif_idx,spectral_dist,dtw_dist,wasserstein_dist
3,1,0.07471196387777704,0.6544006378818866,0.0654375626812638
3,2,0.0,0.10480743735499887,0.010478687192138392
3,3,0.0,0.0,4.125044720659776e-06
3,4,0.0,0.0,4.110754912878267e-06
3,5,0.0,0.0,2.1263451553621416e-06
3,6,0.0,0.0,2.6137676376603025e-06
3,7,0.0,0.0,4.069563471686965e-06
3,8,0.0,0.0,5.602881007993332e-06
3,9,0.0,0.0,1.0057278609076904e-05
3,10,0.0,0.0,4.8338819948368085e-06
3,11,0.0,0.0,7.390867368917143e-06
3,12,0.0,0.0,3.855927644824675e-06
3,13,0.0,0.0,2.8281381775352443e-06
3,14,0.0,0.0,3.150202933532853e-06
3,15,0.0,0.0,3.990497153838479e-06
3,16,0.0,0.0,2.4035529151200662e-06
3,17,0.0,0.0,4.886018074978793e-06
3,18,0.0,0.0,5.607033685517404e-06
4,0,0.40216567008953835,2.6794710600388987,0.26794621641379435
4,1,0.07471196387777704,0.6544006378818866,0.06543543139237337
4,2,0.0,0.10480743735499887,0.010474636413324781
4,3,0.0,0.0,6.325192286249502e-06
4,4,0.0,0.0,5.433660037490462e-06
4,5,0.0,0.0,3.1032129721220153e-06
4,6,0.0,0.0,6.034354215933569e-06
4,7,0.0,0.0,3.861530278737036e-06
4,8,0.0,0.0,6.790383196730865e-06
4,9,0.0,0.0,5.961527053610637e-06
4,10,0.0,0.0,8.708809100310688e-06
4,11,0.0,0.0,7.436518447034857e-06
4,12,0.0,0.0,4.121799814615912e-06
4,13,0.0,0.0,4.475865721709216e-06
4,14,0.0,0.0,9.594584761274396e-06
4,15,0.0,0.0,4.452460282478031e-06
4,16,0.0,0.0,3.3139870896037312e-06
4,17,0.0,0.0,7.095662637701672e-06
4,18,0.0,0.0,4.41336638915546e-06
5,0,0.40216567008953835,2.6794710600388987,0.2679392450553275
5,1,0.07471196387777704,0.6544006378818866,0.06543378965643448
5,2,0.0,0.10480743735499887,0.010483016966083248
5,3,0.0,0.0,3.1371381075673277e-06
5,4,0.0,0.0,3.330758623842911e-06
5,5,0.0,0.0,2.7823212387811937e-06
5,6,0.0,0.0,4.165643730036361e-06
5,7,0.0,0.0,1.0512506622895047e-05
5,8,0.0,0.0,4.453595909548192e-06
5,9,0.0,0.0,6.033358920232158e-06
5,10,0.0,0.0,4.671444718218343e-06
5,11,0.0,0.0,8.599825398603045e-06
5,12,0.0,0.0,6.583218529354618e-06
5,13,0.0,0.0,5.993008025051427e-06
5,14,0.0,0.0,2.1299555167941797e-06
5,15,0.0,0.0,3.730583816163868e-06
5,16,0.0,0.0,9.5186451189444e-06
5,17,0.0,0.0,9.029329682730405e-06
5,18,0.0,0.0,3.4694435875559653e-06
6,0,0.40216567008953835,2.6794710600388987,0.26794399595158697
6,1,0.07471196387777704,0.6544006378818866,0.0654372792208219
6,2,0.0,0.10480743735499887,0.010480693208896408
6,3,0.0,0.0,2.5461712912178133e-06
6,4,0.0,0.0,1.887652574772414e-06
6,5,0.0,0.0,2.791413250025076e-06
6,6,0.0,0.0,6.280710722983418e-06
6,7,0.0,0.0,9.337318613877874e-06
6,8,0.0,0.0,3.4868490340067555e-06
6,9,0.0,0.0,6.280461155205863e-06
6,10,0.0,0.0,4.224821675413715e-06
6,11,0.0,0.0,4.667442484618256e-06
6,12,0.0,0.0,5.589466839117651e-06
6,13,0.0,0.0,5.186559813119551e-06
6,14,0.0,0.0,2.8242682194812297e-06
6,15,0.0,0.0,3.128752383585454e-06
6,16,0.0,0.0,4.095462341258126e-06
6,17,0.0,0.0,3.329369085469658e-06
6,18,0.0,0.0,1.0069163646075909e-05
7,0,0.40216567008953835,2.6794710600388987,0.26794413207270323
7,1,0.07471196387777704,0.6544006378818866,0.06544125478867271
7,2,0.0,0.10480743735499887,0.01048535755811636
7,3,0.0,0.0,4.998281422707862e-06
7,4,0.0,0.0,5.958346138412728e-06
7,5,0.0,0.0,4.7138146785141725e-06
7,6,0.0,0.0,3.825298058679483e-06
7,7,0.0,0.0,8.639567700929885e-06
7,8,0.0,0.0,4.080497040792608e-06
7,9,0.0,0.0,3.6980786264129146e-06
7,10,0.0,0.0,2.7200161186624603e-06
7,11,0.0,0.0,6.174615771648017e-06
7,12,0.0,0.0,6.128529700333285e-06
7,13,0.0,0.0,9.512866148519984e-06
7,14,0.0,0.0,2.4323383291280367e-06
7,15,0.0,0.0,4.9044586932778245e-06
7,16,0.0,0.0,7.1536531984883734e-06
7,17,0.0,0.0,3.9234384288433505e-06
7,18,0.0,0.0,6.711838874184917e-06
8,0,0.40216567008953835,2.6794710600388987,0.2679366913820389
8,1,0.07471196387777704,0.6544006378818866,0.06543493331674627
